,price
440,"$1,550,000"
441,"$1,050,000"
442,"$1,099,000"
443,"$799,000"
444,"$1,495,000"
445,"$2,095,000"
446,"$3,300,000"
447,"$819,000"
448,"$1,449,000"
449,"$998,000"
450,"$4,185,000"
451,"$995,000"
452,"$394,000"
453,"$400,000"
454,"$1,318,000"
455,"$998,000"
456,"$925,000"
457,"$625,000"
458,"$995,000"
459,"$5,250,000"
460,"$2,750,000"
461,"$868,000"
462,"$978,000"
463,"$799,000"
464,"$510,000"
465,"$400,000"
466,"$7,200,000"
467,"$729,000"
468,"$3,895,000"
469,"$1,825,000"
470,"$899,000"
471,"$4,645,000"
472,"$2,599,000"
473,"$680,000"
474,"$1,095,000"
475,"$3,500"
476,"$1,695,000"
477,"$799,000"
478,"$1,048,000"
479,"$1,995,000"
480,"$2,795,000"
481,"$2,995,000"
482,"$545,000"
483,"$575,000"
484,"$525,000"
485,"$2,195,000"
486,"$1,149,000"
487,"$1,695,000"
488,"$11,750,000"
489,"$995,000"
490,"$1,995,000"
491,"$949,000"
492,"$1,275,000"
493,"$1,150,000"
494,"$960,000"
495,"$565,000"
496,"$1,100,000"
497,"$715,000"
498,"$2,250,000"
499,"$300,000"
500,"$1,799,000"
501,"$789,900"
502,"$1,550,000"
503,"$1,050,000"
504,"$1,099,000"
505,"$799,000"
506,"$1,495,000"
507,"$2,095,000"
508,"$3,300,000"
509,"$819,000"
510,"$1,449,000"
511,"$998,000"
512,"$4,185,000"
513,"$995,000"
514,"$394,000"
515,"$400,000"
516,"$1,318,000"
517,"$998,000"
518,"$925,000"
519,"$625,000"
520,"$995,000"
521,"$5,250,000"
522,"$2,750,000"
523,"$868,000"
524,"$978,000"
525,"$799,000"
526,"$510,000"
527,"$400,000"
528,"$7,200,000"
529,"$729,000"
530,"$3,895,000"
531,"$1,825,000"
532,"$899,000"
533,"$4,645,000"
534,"$2,599,000"
535,"$680,000"
536,"$1,095,000"
537,"$3,500"
538,"$1,695,000"
539,"$799,000"
540,"$1,048,000"
541,"$1,995,000"
542,"$2,795,000"
543,"$2,995,000"
544,"$545,000"
545,"$575,000"
546,"$525,000"
547,"$2,195,000"
548,"$1,149,000"
549,"$1,695,000"
550,"$11,750,000"
551,"$995,000"
552,"$1,995,000"
553,"$949,000"
554,"$1,275,000"
555,"$1,150,000"
556,"$960,000"
557,"$565,000"
558,"$1,100,000"
559,"$715,000"
560,"$2,250,000"
561,"$300,000"
562,"$1,799,000"
563,"$789,900"
564,"$1,550,000"
565,"$1,050,000"
566,"$1,099,000"
567,"$799,000"
568,"$1,495,000"
569,"$2,095,000"
570,"$3,300,000"
571,"$819,000"
572,"$1,449,000"
573,"$998,000"
574,"$4,185,000"
575,"$995,000"
576,"$394,000"
577,"$400,000"
578,"$1,318,000"
579,"$998,000"
580,"$925,000"
581,"$625,000"
582,"$995,000"
583,"$5,250,000"
584,"$2,750,000"
585,"$868,000"
586,"$978,000"
587,"$799,000"
588,"$510,000"
589,"$400,000"
590,"$7,200,000"
591,"$729,000"
592,"$3,895,000"
593,"$1,825,000"
594,"$899,000"
595,"$4,645,000"
596,"$2,599,000"
597,"$680,000"
598,"$1,095,000"
599,"$3,500"
600,"$1,695,000"
601,"$799,000"
602,"$1,048,000"
603,"$1,995,000"
604,"$2,795,000"
605,"$2,995,000"
606,"$545,000"
607,"$575,000"
608,"$525,000"
609,"$2,195,000"
610,"$1,149,000"
611,"$1,695,000"
612,"$11,750,000"
613,"$995,000"
614,"$1,995,000"
615,"$949,000"
616,"$1,275,000"
617,"$1,150,000"
618,"$960,000"
619,"$565,000"
620,"$1,100,000"
621,"$715,000"
622,"$2,250,000"
623,"$300,000"
624,"$1,799,000"
625,"$789,900"
626,"$1,550,000"
627,"$1,050,000"
628,"$1,099,000"
629,"$799,000"
630,"$1,495,000"
631,"$2,095,000"
632,"$3,300,000"
633,"$819,000"
634,"$1,449,000"
635,"$998,000"
636,"$4,185,000"
637,"$995,000"
638,"$394,000"
639,"$400,000"
640,"$1,318,000"
641,"$998,000"
642,"$925,000"
643,"$625,000"
644,"$995,000"
645,"$5,250,000"
646,"$2,750,000"
647,"$868,000"
648,"$978,000"
649,"$799,000"
650,"$510,000"
651,"$400,000"
652,"$7,200,000"
653,"$729,000"
654,"$3,895,000"
655,"$1,825,000"
656,"$899,000"
657,"$4,645,000"
658,"$2,599,000"
659,"$680,000"
660,"$1,095,000"
661,"$3,500"
662,"$1,695,000"
663,"$799,000"
664,"$1,048,000"
665,"$1,995,000"
666,"$2,795,000"
667,"$2,995,000"
668,"$545,000"
669,"$575,000"
670,"$525,000"
671,"$2,195,000"
672,"$1,149,000"
673,"$1,695,000"
674,"$11,750,000"
675,"$995,000"
676,"$1,995,000"
677,"$949,000"
678,"$1,275,000"
679,"$1,150,000"
680,"$960,000"
681,"$565,000"
682,"$1,100,000"
683,"$715,000"
684,"$2,250,000"
685,"$300,000"
686,"$1,799,000"
687,"$789,900"
688,"$1,550,000"
689,"$1,050,000"
690,"$1,099,000"
691,"$799,000"
692,"$1,495,000"
693,"$2,095,000"
694,"$3,300,000"
695,"$819,000"
